year,precip
1.90004E+11,101.94
1.90104E+11,-29.35
1.90204E+11,-26.67
1.90304E+11,32.06
1.90404E+11,82.6
1.90504E+11,1.95
1.90604E+11,14.75
1.90704E+11,-9.04
1.90804E+11,49.25
1.90904E+11,65.74
1.91004E+11,46.23
1.91104E+11,-15.05
1.91204E+11,-38.77
1.91304E+11,-19.81
1.91404E+11,-33.09
1.91504E+11,38.94
1.91604E+11,24.81
1.91704E+11,29.27
1.91804E+11,-3.1
1.91904E+11,-4.73
1.92004E+11,32.7
1.92104E+11,43.72
1.92204E+11,-10.43
1.92304E+11,39.68
1.92404E+11,-35.64
1.92504E+11,-34.67
1.92604E+11,-2.88
1.92704E+11,-3.22
1.92804E+11,-33.5
1.92904E+11,-8.9
1.93004E+11,10.25
1.93104E+11,57.85
1.93204E+11,7.37
1.93304E+11,5.54
1.93404E+11,11.5
1.93504E+11,-40.36
1.93604E+11,-57.4
1.93704E+11,-29.4
1.93804E+11,-29.8
1.93904E+11,15.43
1.94004E+11,-54.59
1.94104E+11,29.69
1.94204E+11,43.46
1.94304E+11,-19.8
1.94404E+11,-38.54
1.94504E+11,-1.46
1.94604E+11,-20.15
1.94704E+11,27.14
1.94804E+11,0.82
1.94904E+11,-0.59
1.95004E+11,9.01
1.95104E+11,19.52
1.95204E+11,-15.07
1.95304E+11,14.81
1.95404E+11,37.08
1.95504E+11,93.01
1.95604E+11,15.22
1.95704E+11,-12.75
1.95804E+11,21.86
1.95904E+11,-5.43
1.96004E+11,-5.24
1.96104E+11,-19.09
1.96204E+11,-20.73
1.96304E+11,38.53
1.96404E+11,27.66
1.96504E+11,6.46
1.96604E+11,28.13
1.96704E+11,-32.2
1.96804E+11,86.15
1.96904E+11,-43.22
1.97004E+11,12.51
1.97104E+11,-7.62
1.97204E+11,-36.63
1.97304E+11,83.15
1.97404E+11,113.39
1.97504E+11,45.68
1.97604E+11,-47.69
1.97704E+11,-41.09
1.97804E+11,58.19
1.97904E+11,-4.97
1.98004E+11,47.65
1.98104E+11,-34.75
1.98204E+11,-26.49
1.98304E+11,-7.17
1.98404E+11,27.74
1.98504E+11,-29.45
1.98604E+11,21.3
1.98704E+11,-33.65
1.98804E+11,14.16
1.98904E+11,4.86
1.99004E+11,-19.08
1.99104E+11,-1.06
1.99204E+11,90.06
1.99304E+11,28.21
1.99404E+11,-63.06
1.99504E+11,11.24
1.99604E+11,50.63
1.99704E+11,40.23
1.99804E+11,81.83
1.99904E+11,19.03
2.00004E+11,-1.42
2.00104E+11,-6.34
2.00204E+11,-57.14
2.00304E+11,-6.74
2.00404E+11,11.41
2.00504E+11,24.59
2.00604E+11,-21.59
2.00704E+11,-29.26
2.00804E+11,-23.06
2.00904E+11,-34.64
2.01004E+11,36.29
2.01104E+11,35.61
2.01204E+11,-59.82
2.01304E+11,22.34
2.01404E+11,-1.59
2.01504E+11,-10.78
2.01604E+11,29.95
2.01704E+11,-29.02
2.01804E+11,-35.91
2.01904E+11,-54.24
2.02004E+11,-45.73
2.02104E+11,-14.64
2.02204E+11,32.42
2.02304E+11,-13.7
2.02404E+11,8.58
